Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-01-15,299.92218017578125,300.6806779375008,299.0722900853066,299.1545348144793,72056600
2020-01-16,302.4171142578125,302.4171142578125,301.0737276112458,301.30219453828755,54050300
2020-01-17,303.3583679199219,303.56853962375646,302.3531079591049,303.12990101469194,95846000
2020-01-21,302.7643737792969,303.5685818598415,302.3257351092037,302.39883225787577,77742400
2020-01-22,302.8008728027344,304.2722140708887,302.64553093599403,303.6233480257216,48914900
2020-01-23,303.1482238769531,303.5594755373367,301.03719151691797,302.1521113343028,51963000
2020-01-24,300.4522399902344,303.88839108132504,299.1636833310754,303.80614634423307,87578400
2020-01-27,295.6361083984375,297.11656914672125,294.86846311743926,295.2065895983411,84062500
2020-01-28,298.7341613769531,299.6114663707145,295.72752948381543,297.0617682289767,63834000
2020-01-29,298.4874572753906,300.3243402372707,298.28640527016483,300.0958733171972,53888900
2020-01-30,299.4561462402344,299.66634584075405,295.67274865407313,296.4220989348696,75491800
2020-01-31,294.0187072753906,298.9901505066073,293.104839444491,298.8347807041798,113845600
2020-02-03,296.20281982421875,298.067117900778,295.3803444015998,295.49915167501734,69083000
2020-02-04,300.71722412109375,301.58540936360026,299.4926450715204,299.81250426028714,62573200
2020-02-05,304.1898498535156,304.40004936825125,302.1885061654508,303.6506715042541,65951100
2020-02-06,305.2135314941406,305.40543589404376,304.1351464583818,305.14955406449695,50359700
2020-02-07,303.58685302734375,305.222656086769,303.03852684411055,304.15344652404104,64139400
2020-02-10,305.8532409667969,305.91721840038207,302.6638515575527,302.700414075177,42070000
2020-02-11,306.3832702636719,307.99165832638704,305.8532114209266,307.2057455520756,54864500
2020-02-12,308.35723876953125,308.5674104828042,307.4524908196525,307.81803230663076,43992700
2020-02-13,308.0281982421875,308.99689562686603,306.6573968990736,306.9315460120865,54501900
2020-02-14,308.521728515625,308.6405357740244,307.24231936560784,308.4394837726626,64582200
2020-02-18,307.7267761230469,308.5858142586572,306.33767893914717,307.525724051116,57226200
2020-02-19,309.197998046875,309.87425122864335,308.4120852020123,308.69538196134926,48814700
2020-02-20,307.9277038574219,309.4721423570291,304.9393389090685,308.64963919276863,74163400
2020-02-21,304.75653076171875,306.8858296734732,303.93402773606726,306.5751180835918,113788200
2020-02-24,294.64923095703125,304.82970245486194,293.5708458942109,295.307216805096,161088400
2020-02-25,285.72076416015625,296.65061531833436,284.8434588747355,296.0383395057608,218913200
2020-02-26,284.6697998046875,290.7104521537765,283.93871677139504,287.1189586441504,194773800
2020-02-27,271.8847961425781,284.7246265399028,271.8847961425781,279.1500278323521,284353500
2020-02-28,270.7424621582031,272.23207101783856,260.94579899354517,263.83362436216396,384975800
2020-03-02,282.4673767089844,282.53135414421934,269.0974871963839,272.5244912250123,238703600
2020-03-03,274.37957763671875,286.80818159326185,271.9395669552168,282.8419998690826,300139100
2020-03-04,285.9125671386719,286.131914298969,277.203411147517,279.7531092321764,176613400
2020-03-05,276.4084167480469,281.9007705498337,274.1694576163429,278.7113812011502,186366800
2020-03-06,271.8390808105469,273.0453928793516,265.231835125878,267.9003132173233,228667200
2020-03-09,250.6099090576172,259.71202207505866,249.89709348195655,251.58772614350622,309417300
2020-03-10,263.5777282714844,263.6690927281698,249.94281022843532,260.1233095601224,276444100
2020-03-11,250.72872924804688,257.6558620446888,247.54848749515548,256.5226750190865,255316300
2020-03-12,226.73968505859375,243.69193139870373,226.34671474938688,233.95009968243195,392220700
2020-03-13,246.1228790283203,248.0968367944438,227.11442627444234,240.42947267664428,329566100
2020-03-16,219.191162109375,234.7725944345364,216.9156266338003,220.40659381646842,297240000
2020-03-17,231.02572631835938,234.1054695359692,216.65059323263955,223.93410499439116,262070500
2020-03-18,219.32821655273438,226.977283642767,208.38008698094055,215.9012131690979,327597100
2020-03-19,219.79428100585938,226.07256060162746,212.2183250976438,218.64281290463057,289322000
2020-03-20,210.3224639892578,224.72697702090403,210.0466887261092,222.94364621592393,347158800
2020-03-23,204.9448699951172,211.13136077030381,200.63362552870024,209.761700043424,326025200
2020-03-24,223.51356506347656,224.38685570948732,214.91866545634184,215.48859069772814,235494500
2020-03-25,226.859619140625,235.6475802643827,220.38816470935495,225.0946770230059,299430300
2020-03-26,240.1058807373047,241.57664463189138,228.93708857476466,229.36913318338085,257632800
2020-03-27,232.95419311523438,239.7473876435918,230.7755951190202,232.8163124926308,224341200
2020-03-30,240.51953125,241.2365384930664,233.0552948085847,235.05004716701424,171369500
2020-03-31,236.93443298339844,242.06378683230136,235.52799498829467,239.517498660334,194881100
2020-04-01,226.27125549316406,236.8517325396181,224.20296243005834,227.9534688676713,189554600
2020-04-02,231.4925994873047,232.27394638304975,224.83728566556516,225.38883620204277,177660400
2020-04-03,228.14654541015625,232.8622586960982,225.4163970895069,230.50898872250409,135561200
2020-04-06,243.4702606201172,245.43745065637108,228.1281336328922,237.0171961738574,188061200
2020-04-07,243.718505859375,252.8189911912203,243.49789687410166,252.06520642083692,201427200
2020-04-08,251.89976501464844,253.7106720203933,243.82882519351205,246.31996198060406,153774500
2020-04-09,255.7329864501953,258.49071084159345,253.22344715493466,255.16303317810022,189999200
2020-04-13,253.39805603027344,255.0986580184009,249.49128056839425,254.75854323137895,114839100
2020-04-14,260.87152099609375,261.8918654699185,253.26020343605688,258.2884549436128,134143400
2020-04-15,255.32852172851562,261.0094273258755,253.21424949877317,255.1538636035753,121775000
2020-04-16,256.560302734375,257.4151905782351,253.49003955687044,256.6062535871755,131798300
2020-04-17,263.49139404296875,264.09806873944035,259.59379105102954,262.3331407891114,146684800
2020-04-20,258.84912109375,263.6291864617387,258.628512187017,259.78673700037984,100109300
2020-04-21,250.98960876464844,255.58581446545793,250.0519648477548,254.3816108160869,126385700
2020-04-22,256.560302734375,258.30685593614993,254.5471616484955,255.87087162422512,92951600
2020-04-23,256.5419006347656,261.00942882801934,256.2385632888214,257.83803449166567,104709700
2020-04-24,260.11767578125,260.7887319364583,256.00866661684114,258.0585845312066,85063200
2020-04-27,263.8681945800781,264.9896700484018,261.6344450330701,262.09406566675983,77896600
2020-04-28,262.6548767089844,267.86696016171067,262.35151131258954,267.51764391278255,105270000
2020-04-29,269.5307312011719,271.0658765011641,266.9568668064149,267.9864125643177,118745600
2020-04-30,267.021240234375,269.6318823292637,265.28386059929,268.1518891527446,122901700
2020-05-01,259.9523620605469,267.18678958026203,258.78490717517025,262.2688409907654,125180000
2020-05-04,260.6693115234375,260.9726488665371,256.58787713450204,258.06784244223917,80873200
2020-05-05,263.0776672363281,265.8905433416998,260.797938736248,263.49133703836077,79569900
2020-05-06,261.29437255859375,265.1643710660051,260.8623279708527,264.77830538088773,73632600
2020-05-07,264.4473571777344,266.3777697134358,263.9417856328459,264.51171080796263,75250400
2020-05-08,268.8230285644531,269.29185077977314,266.4513694136883,267.5820467346835,76452400
